최종 설계도: ApplyEffectToHitTargetModule.cs (v4)
파일 이름: ApplyEffectToHitTargetModule.cs

상속: CardEffectSO

설명: 오직 적중된 대상(HitTarget)에게만 모든 종류의 효과(스탯, 지속/즉발 피해 및 회복)를 적용하는 통합 모듈입니다.

인스펙터 필드 명세
필드명	타입	UI 형태	설명 및 확정된 목록 / 값
[ 발동 조건 ]			
Trigger	Enum	드롭다운	효과 발동 시점을 선택합니다. (아래 목록 외 다른 값 없음)<br>• OnHit: 투사체가 적에게 적중했을 때<br>• OnCrit: 투사체가 치명타로 적중했을 때<br>• OnKill: 해당 공격으로 적을 처치했을 때<br>• OnLastRicochetHit: 마지막 튕김 공격이 적중했을 때
Application Chance	float	숫자 입력	효과가 실제로 적용될 확률.<br>• 단위: %<br>• 범위: 0.0 ~ 100.0<br>• 기본값: 100.0
[ 효과 내용 - 공통 ]			
Status Effect ID	string	문자열 입력	(추가) 이 효과를 식별할 고유 ID를 지정합니다.<br>• 예: "독", "화상", "맹독"<br>• DetonateEffectsModule 등에서 이 ID를 사용하여 특정 효과만 골라낼 수 있습니다.
Duration	float	숫자 입력	스탯 변경 및 지속 효과의 지속 시간.<br>• 단위: 초 (seconds)<br>• 0 입력 시 즉발 또는 영구 지속<br>• 기본값: 3.0
[ 효과 내용 - 스탯 변경 ]			
Move Speed Bonus	float	숫자 입력	대상의 이동속도를 변경합니다.<br>• 단위: %<br>• 양수: 증가, 음수: 감소
Damage Taken Bonus	float	숫자 입력	대상이 받는 모든 피해량을 변경합니다.<br>• 단위: %<br>• 양수: 증가, 음수: 감소
Contact Damage Bonus	float	숫자 입력	대상의 접촉 공격력을 변경합니다.<br>• 단위: %<br>• 양수: 증가, 음수: 감소
[ 효과 내용 - 지속 피해 (DoT) ]			
Damage Type	Enum	드롭다운	(순서 변경) 피해량 계산 방식. (아래 목록 외 다른 값 없음)<br>• Flat: 고정 수치<br>• MaxHealthPercentage: 대상 최대 체력 비례 %
Damage Amount	float	숫자 입력	(순서 변경) 초당 피해량. (틱 간격은 1초로 고정)
Scales With Dmg Bonus	bool	체크박스	체크 시, 시전자(플레이어)의 FinalDamageBonus 스탯이 DoT 피해량에 영향을 줍니다.<br>• 기본값: 체크 해제
Stacking Behavior	Enum	드롭다운	동일 효과 중첩 방식. (아래 목록 외 다른 값 없음)<br>• RefreshDuration: 기존 효과의 지속시간만 갱신<br>• StackEffect: 효과를 새로 추가하여 중첩<br>• NoStack: 이미 효과가 있다면 무시
[ 효과 내용 - 회복 ]			
Heal Duration	float	숫자 입력	회복이 이루어지는 시간 (초).
Heal Type	Enum	드롭다운	회복량 계산 방식. (아래 목록 외 다른 값 없음)<br>• Flat: 고정 수치<br>• MaxHealthPercentage: 대상 최대 체력 비례 %
Heal Amount	float	숫자 입력	(순서 변경) 총 회복량. Heal Duration이 0일 경우 즉시 이만큼 회복됩니다.
On Apply VFX	AssetReferenceGameObject	오브젝트 필드	효과가 처음 적용되는 순간 1회 재생될 VFX의 어드레서블 주소.
Looping VFX	AssetReferenceGameObject	오브젝트 필드	효과가 지속되는 동안 몬스터에게 붙어서 계속 재생될 VFX의 어드레서블 주소.
On Expire VFX	AssetReferenceGameObject	오브젝트 필드	효과의 지속시간이 끝나 사라지는 순간 1회 재생될 VFX의 어드레서블 주소.
